,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6927116550708405,0.556,0.5754674692622951,0.09687987268042209,0.08740487300399732,1.110286733343264
Period 2,0.6901700939112703,0.524,0.5445576270100583,0.006695493281950515,0.08771271472487802,0.1204905637411359
Period 3,0.6919146913227953,0.52,0.5290578597030209,-0.0027257545792600535,0.07248339578037676,-0.0017444825800468678
Period 4,0.6891161233913001,0.54,0.5814549180327868,0.056326438483045305,0.05423209908867393,1.0457389642771433
Period 5,0.6900548175501559,0.56,0.5285136955545577,0.08039391279519292,0.06593683532354502,1.2152485017198085
Period 6,0.6928003374130042,0.5,0.5152038921964023,-0.05735019463290547,0.057899247788988785,-0.9991201058723269
Mean,0.6911279531098944,0.5333333333333333,0.5457092436265202,0.030036628004740884,0.07094486095174331,0.41515002910482973
