,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6874128206817938,0.552,0.5602436969343443,0.17621641330903715,0.1387214817937169,1.247379374017408
Period 2,0.6929157935013538,0.488,0.5731308860272919,-0.04600611260420495,0.08698731917413319,-0.5021492226349759
Period 3,0.6934820437311574,0.464,0.4765625,0.017523139329879145,0.08084008008956155,0.25701710852760506
Period 4,0.6934454253983394,0.46,0.5260093167701863,-0.040250355766990986,0.08093142126559305,-0.4711324976354953
Period 5,0.6931618414822767,0.448,0.4865542974781266,-0.16326699613580975,0.10951713980755595,-1.5854989382783047
Period 6,0.6931486344609797,0.504,0.5202386298030663,0.03589813413353071,0.07388518837298684,0.5181345958738288
Mean,0.6922610932093168,0.486,0.5237898878355026,-0.003314296289093114,0.09514710508392459,-0.08937493002165568
