,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6935347266668577,0.484,0.5074316099686078,-0.04195625209189913,0.08179023894010862,-0.48719103239380757
Period 2,0.6922516589497419,0.512,0.5465548155737705,0.004819153308676549,0.07784015394775683,0.10108431380202702
Period 3,0.6932543764612502,0.508,0.45325307377049184,0.02021670983633239,0.06417443317526793,0.3464707853472268
Period 4,0.6910625180427243,0.54,0.5476972624798712,0.010185721691929217,0.056097718909138394,0.21018002573654987
Period 5,0.6942358461084965,0.54,0.49131193075382723,-0.005754081261624466,0.0675741620089825,-0.05229036412061314
Period 6,0.6930674152524555,0.52,0.5108166922683052,0.00714597384324156,0.0626098428012279,0.14595152425584343
Mean,0.692901090246921,0.5173333333333333,0.5095108974691457,-0.0008904624455573126,0.06834775829708037,0.044034208771204404
