,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6923131486021779,0.504,0.5931259600614439,-0.15845381640082834,0.11520390709739697,-1.451117083230852
Period 2,0.6933104118069612,0.472,0.47177496952979664,-0.0835657490850168,0.10697769446004138,-0.7687899829321343
Period 3,0.693389178982402,0.496,0.4838709677419355,0.012911906756256197,0.06448668837857535,0.23280276225741703
Period 4,0.6935611822514957,0.436,0.45413225785801165,-0.008792702571244093,0.06400345061041948,-0.10717874758031729
Period 5,0.6901902845702876,0.564,0.5487320696721312,0.17448053601797153,0.0773451874696734,2.1353298895209565
Period 6,0.6909201556779753,0.492,0.5251457492472291,-0.03141048889349918,0.051433824942558104,-0.5997155968870971
Mean,0.6922807269818833,0.494,0.5127969956850914,-0.01580505236272678,0.07990845882644411,-0.0931114598086712
