,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,2.301043772628071,0.496,0.5104648176682075,-0.31603434852085677,0.11323146708390451,-3.3219958915411127
Period 2,2.6598858001265944,0.516,0.4713114754098361,-0.13372515872217794,0.10674458875825384,-1.3020923188974962
Period 3,1.0914667703778105,0.488,0.5298225382791979,-0.04584730206673182,0.06443066100044822,-0.7019604338274894
Period 4,1.1771360918660556,0.552,0.5736424180327868,-0.15018478542452218,0.06318630009150346,-2.5635643646409556
Period 5,1.8930863466410042,0.572,0.5890147877856732,-0.25095681002719805,0.07590053254666441,-3.7972422823880265
Period 6,1.6995723307767576,0.484,0.48444700460829493,-0.03838090279740436,0.051414451460239166,-0.7415375532109026
Mean,1.8036985187360486,0.518,0.5264505069639994,-0.15585488459314853,0.07915133349016892,-2.0713988074176637
