,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,1.793644572399308,0.508,0.5231419243326292,-0.1544606461965472,0.08115968599132303,-2.0425449232274153
Period 2,1.3921960373020192,0.488,0.48611111111111105,-0.1347054066416411,0.07732023442668644,-1.8468257206891259
Period 3,1.5824184462671134,0.54,0.5287772107744978,-0.08085826583282796,0.06397678788537818,-1.2962296466572922
Period 4,1.2214794177305357,0.564,0.5911333205202125,-0.10374351907245516,0.05568218917922154,-1.9544778677586772
Period 5,1.9022946699629442,0.464,0.4817733358959574,-0.18543549644850443,0.06633581560572441,-3.0820849773411387
Period 6,1.690277354542863,0.46,0.4576303803964334,-0.08591878559247201,0.06236327184363788,-1.4206046404197255
Mean,1.5970517497007972,0.504,0.5114278805051401,-0.12418701996407465,0.06780633082199523,-1.9404612960155625
