,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,0.6977655956798214,0.47933333333333333,0.48626463797961067,-0.031183234832110496,0.07079173012351801,-0.4142219210025977
GBPUSD,0.6963424898723151,0.522,0.5292029342214548,0.06145329564919744,0.0951447065505181,0.5691354140967527
USDJPY,0.6988043305333395,0.5093333333333333,0.48029962590104813,-0.014405188662585037,0.07999276728276923,-7.588315635098652e-05
USDCHF,0.7013314949754452,0.4633333333333333,0.47857365643687655,-0.04616189855036529,0.06810327054490273,-0.8452118428522423
Mean,0.6985609777652303,0.49350000000000005,0.49358521363474755,-0.007574256598965845,0.07850811862542702,-0.17259355822860956
