,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6892091738996651,0.532,0.5533733230134159,0.11275051577560391,0.13895327768610852,0.8430412604093573
Period 2,0.6946022017416156,0.524,0.5101325270200722,0.07322916301378246,0.08690243195626807,0.8632494962062977
Period 3,0.69146913692467,0.528,0.4798701298701299,-0.030360344452864618,0.08083169573499974,-0.34402347577338643
Period 4,0.7026098676241802,0.456,0.4714349977507873,-0.32530020201644716,0.07708235312422733,-5.102942387847497
Period 5,0.6867072080707048,0.536,0.5677721470267496,-0.14370470235519206,0.10965406159736837,-1.3706188238888986
Period 6,0.6857206372122077,0.54,0.5352272727272727,0.07501390969344368,0.07377079871066523,1.0253826096287797
Mean,0.6917197042455072,0.5193333333333333,0.5196350662347379,-0.03972861005694563,0.09453243646827288,-0.6809852202108911
