,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.69923604531844,0.532,0.4391189199664105,-0.20498461615452745,0.11481652065121749,-1.9553309375273824
Period 2,0.6935370269629643,0.476,0.5354923441604202,0.04102920164845014,0.10706347180289962,0.43180702960289075
Period 3,0.7045222546791443,0.492,0.4748862835543597,-0.12028942846427415,0.06399465816661516,-1.986200395792035
Period 4,0.6952795072640667,0.492,0.5145446336429309,0.06636852378110691,0.06386636363698567,1.0461914365277742
Period 5,0.6940829962547983,0.5,0.5554695562435501,0.02519180949111388,0.07802168539853337,0.36034644177573816
Period 6,0.6954227496013372,0.496,0.4978878648233487,0.13781652278323997,0.05079987846545143,2.5879526265195714
Mean,0.6970134300134584,0.498,0.5028999337318366,-0.009144664485815116,0.07976042968695045,0.08079436685109287
