,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.695732588164044,0.5,0.5104026630817489,-0.051265648909231354,0.08176885598968671,-0.6076964063834217
Period 2,0.6987964449014245,0.516,0.503200204813108,-0.07372394600638554,0.07770139826458801,-0.9545045000207525
Period 3,0.6900885205538909,0.544,0.5363348620890124,-0.1713633755726951,0.06309467815704686,-2.970364536037092
Period 4,0.6833516612346163,0.572,0.5900442052661925,-0.29692147459969065,0.05149316033916309,-6.865530834881004
Period 5,0.6828271799235213,0.572,0.5820039720673971,-0.3946815239707423,0.05966090292973773,-8.443105851530468
Period 6,0.697943866212399,0.488,0.4745653986785554,-0.06370246044912142,0.06248097650178024,-1.0305125016133458
Mean,0.6914567101649828,0.532,0.5327585509993358,-0.17527640491797772,0.06603332869700045,-3.4786191050776805
