,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,0.6982348713913039,0.49666666666666665,0.4886963297611038,-0.037116050175894956,0.07079630156374805,-0.6849893769172444
GBPUSD,0.6897909083615649,0.5273333333333333,0.5312897306428115,-0.01404652789440236,0.09499570649816143,-0.25056932458632014
USDJPY,0.6921880104672574,0.5193333333333333,0.5270469768997071,-0.10272600299815449,0.07935454948811634,-1.5051963548145981
USDCHF,0.6914567101649828,0.532,0.5327585509993358,-0.17527640491797772,0.06603332869700045,-3.4786191050776805
Mean,0.6929176250962773,0.5188333333333334,0.5199478970757395,-0.08229124649660738,0.07779497156175656,-1.479843540348961
