,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6700762015888105,0.596,0.6495102746303054,-0.31403899325409923,0.0783146805295444,-4.808578642219321
Period 2,0.6896065313065353,0.528,0.5620199692780338,-0.3008298466799577,0.0745095496940967,-4.800381665601108
Period 3,0.690848764437129,0.568,0.5502228538208127,-0.3440363193595989,0.058398919702800374,-7.242520279580707
Period 4,0.6488285618526584,0.624,0.6847972323659426,-0.2128309236883006,0.054033329954121516,-4.4352228631071275
Period 5,0.6306563170758648,0.604,0.6799282465244411,-0.21281202284760914,0.06587717819745383,-3.6267122857513763
Period 6,0.69080433877908,0.512,0.5454487138366797,-0.3463053940382289,0.05655372664644938,-7.54236550319257
Mean,0.6701367858400129,0.5720000000000001,0.6119878817427026,-0.2884755833112991,0.06461456412074436,-5.409296873242035
