,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6639558127320657,0.584,0.6345843291777018,-0.27763877916642143,0.11390211493803418,-2.819096252378362
Period 2,0.6875073302680669,0.548,0.5897238772503043,-0.24841709849253013,0.10561854473583583,-2.670915578236257
Period 3,0.6848899416572372,0.544,0.5593567813440964,-0.11508618938928294,0.06404040247852544,-1.8919507313481059
Period 4,0.6711159933934882,0.584,0.6446078431372548,0.0052671410643152505,0.06400323533838813,0.11481526731978513
Period 5,0.6816004115018959,0.592,0.6319014447884417,0.005777569453752962,0.07803979577341774,0.11332104456374392
Period 6,0.681517521275253,0.528,0.5926779313876089,-0.12919254257579693,0.05072983002569405,-2.7225756364879303
Mean,0.6784311684713344,0.5633333333333334,0.6088087011809012,-0.12654831651766055,0.07938898721498257,-1.6460669810945212
