,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6918827749719473,0.484,0.5168988648090815,-0.17016182249162948,0.13869624765434366,-1.2838328166421364
Period 2,0.6781808936014139,0.568,0.6082089552238806,-0.23835296273938877,0.08534453583491929,-3.1712364478459008
Period 3,0.6797885596626294,0.556,0.5626623376623376,-0.19484556599769642,0.07970630052722516,-2.699642537434672
Period 4,0.6821469544139911,0.548,0.608058608058608,-0.15058735446726867,0.08032749979055012,-2.0071754502194468
Period 5,0.6816105468703775,0.572,0.5977291680030792,-0.19845671796101294,0.10921024743045503,-1.9865141023553439
Period 6,0.6744159269285349,0.564,0.584935064935065,-0.13311851423266896,0.07338701706178229,-1.9248438819553444
Mean,0.6813376094081489,0.5486666666666667,0.5797488331153421,-0.18092048964827753,0.09444530804987926,-2.1788742060754736
