,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,0.6870319492887788,0.518,0.5637088453695053,-0.2659277144771756,0.06799138571292915,-4.753726337939681
GBPUSD,0.6710189331594791,0.5573333333333333,0.6029698626439105,-0.34380298685181493,0.0911696419225943,-4.664328362728857
USDJPY,0.6664429297795081,0.6040000000000001,0.6497356075282207,-0.30503797886844314,0.0766595794116892,-4.896309903607193
USDCHF,0.6701367858400129,0.5720000000000001,0.6119878817427026,-0.2884755833112991,0.06461456412074436,-5.409296873242035
Mean,0.6736576495169447,0.5628333333333334,0.6071005493210847,-0.3008110658771832,0.07510879279198925,-4.930915369379441
