,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,1.8078538692949782,0.48266666666666663,0.48960483771519336,-0.04981983531495284,0.07094871941772131,-0.6892336424449703
GBPUSD,1.7999899166216988,0.5106666666666667,0.5144998914251242,0.006388557226041869,0.0952368694250198,0.19353405250915612
USDJPY,1.6357627530630359,0.502,0.4915782170086351,-0.03452786702670609,0.0800421014833577,-0.3229105857990919
USDCHF,1.4873420011086396,0.47733333333333333,0.47054118774458153,-0.032681895509136694,0.0682162629038844,-0.4847752140905239
Mean,1.682737135022088,0.4931666666666667,0.49155603347338356,-0.02766026015618844,0.0786109883074958,-0.3258463474563575
