,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,1.6594934456980919,0.516,0.49321556579621095,-0.10732425743488005,0.11548505301337764,-0.9327468599559936
Period 2,2.3222492310635734,0.476,0.4412085444864968,-0.05391208927674962,0.10705647916979712,-0.46840434500734557
Period 3,1.3567547018421153,0.488,0.4933435739887353,-0.05354719409186459,0.06440585870982947,-0.8290070141604945
Period 4,1.3835360047330514,0.524,0.5076499583893477,0.06715411953006378,0.06386324823779332,1.0579273196495738
Period 5,1.5646365030123568,0.52,0.5239497950819673,-0.05337519034983762,0.07797238184114187,-0.6699285438774465
Period 6,1.5279066320290267,0.488,0.49010186430905245,-0.0061625905369684375,0.051469587928206814,-0.09530407144284497
Mean,1.6357627530630359,0.502,0.4915782170086351,-0.03452786702670609,0.0800421014833577,-0.3229105857990919
