,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,0.7140657640988545,0.5066666666666667,0.512414802320286,-0.11678396762140648,0.06874919011312992,-2.8606789637447907
GBPUSD,0.697229788584164,0.536,0.5667935370751992,-0.2822753482670884,0.09066957187623005,-4.58581230934731
USDJPY,0.6912697735619826,0.5573333333333333,0.5802493564854861,-0.18579671638567344,0.078535564709154,-2.7761041404837097
USDCHF,0.7095575638811807,0.5433333333333333,0.5482887163400363,-0.20767383716937246,0.06590200547949601,-3.9757164967109895
Mean,0.7030307225315454,0.5358333333333334,0.5519366030552519,-0.1981324673608852,0.0759640830445025,-3.5495779775717
