,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.7027702989898341,0.512,0.53031475748194,0.1398354340984611,0.13886178690847512,1.021680640363149
Period 2,0.6824987415816983,0.528,0.5975295934122491,-0.28763488293986916,0.08438484901387741,-4.006399927312999
Period 3,0.6912399215614113,0.6,0.5923376623376623,-0.38295096357042946,0.07489727205757708,-6.453986753824521
Period 4,0.7087580198609473,0.496,0.5490007068954438,-0.3862249911283636,0.07488506967230042,-6.526556890381305
Period 5,0.6929803965592827,0.536,0.5750849958303932,-0.5303469046520906,0.09923510747428224,-7.6149834557012
Period 6,0.7051313529518107,0.544,0.5564935064935065,-0.24632978141023865,0.07175334613086803,-3.9346274692269887
Mean,0.697229788584164,0.536,0.5667935370751992,-0.2822753482670884,0.09066957187623005,-4.58581230934731
