,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6791501352314205,0.596,0.611136,-0.016422175872835787,0.08182443849626334,-0.16293433586852762
Period 2,0.7477548847986307,0.504,0.48164520468960215,-0.24492993604375068,0.0758149169131612,-3.6951183751504817
Period 3,0.7361533453396548,0.492,0.4908646423057128,-0.31711397126642216,0.05949792582261532,-6.4273345496111824
Period 4,0.6957015424077686,0.564,0.5811504879301489,-0.31366609037675164,0.05080387294563689,-7.436913982643029
Period 5,0.6897174944212535,0.572,0.6019467213114753,-0.2408305579561406,0.06530874350948299,-4.217678356854475
Period 6,0.7088679810883562,0.532,0.5229892418032787,-0.11308029150033394,0.06216213518981634,-1.9143193801382412
Mean,0.7095575638811807,0.5433333333333333,0.5482887163400363,-0.20767383716937246,0.06590200547949601,-3.9757164967109895
