,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.7117876398452619,0.512,0.5129257809994227,0.17225069590601705,0.08700693077293188,1.8853241292177612
Period 2,0.7246091137599745,0.492,0.48146006040742884,0.1364756304378678,0.08731546776722816,1.5208039411327998
Period 3,0.7113983106213679,0.492,0.5004177109440267,-0.2605446009079926,0.06994875213886595,-4.3120402224759955
Period 4,0.6870743813834508,0.548,0.5796153846153846,-0.33578622730332686,0.047788575615566826,-8.599190917756182
Period 5,0.7082377500042272,0.532,0.5281410631791268,-0.2580641294542614,0.06339649967665319,-4.711449976714897
Period 6,0.7412873889788447,0.464,0.4719288137763268,-0.15503517440674297,0.05703891470753353,-2.947520735872229
Mean,0.7140657640988545,0.5066666666666667,0.512414802320286,-0.11678396762140648,0.06874919011312992,-2.8606789637447907
