,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,0.735978430793503,0.5,0.4924803768603483,0.005783778706063891,0.07100594423671343,0.05904825354424248
GBPUSD,0.7304126282278155,0.5206666666666667,0.5375268081748216,0.04023422474120817,0.09513923533526525,0.41648726950739445
USDJPY,0.7347228466277055,0.5006666666666667,0.49374332441769075,-0.059931034335610665,0.07997713649840447,-0.7505954900642383
USDCHF,0.733459950960929,0.48266666666666663,0.47933580618566946,-0.033654165694573024,0.06824379503032617,-0.45396667095125687
Mean,0.7336434641524883,0.501,0.5007715789096325,-0.011891799145727907,0.07859152777517733,-0.18225665949096456
