,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.7333848245496782,0.524,0.5450126385378185,0.08308320929414825,0.13903381813867613,0.6465442086584559
Period 2,0.7430595765749913,0.556,0.570888589916074,0.09152535446680021,0.08683740394416772,1.0601305937396706
Period 3,0.6952557336085767,0.56,0.5665983606557378,0.14875964217133686,0.08034688205722461,1.780477345040398
Period 4,0.7461897152319996,0.432,0.43258281573498963,-0.1099793643169672,0.0806470483476531,-1.4155714906544832
Period 5,0.7258759321412185,0.516,0.5558414822439527,0.009796629642364607,0.11005748997525351,0.1441003752954538
Period 6,0.738709987260429,0.536,0.5542369619603565,0.018219877189566303,0.0739127695486164,0.28324258496487154
Mean,0.7304126282278155,0.5206666666666667,0.5375268081748216,0.04023422474120817,0.09513923533526525,0.41648726950739445
