,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,0.7303328269949971,0.504,0.4913860250344033,-0.04502056401916976,0.070853911701356,-0.6433465530676837
GBPUSD,0.7301677099262761,0.5306666666666667,0.5411879903612761,-0.05630774130467725,0.09482612734232758,-0.42790679099396106
USDJPY,0.7342330328876022,0.512,0.5075933029351057,-0.07370105724346306,0.07983405823750296,-0.7536641370254172
USDCHF,0.7132556429217232,0.5273333333333333,0.5330322511020539,-0.03590248912951336,0.06820191560407395,-0.5483586419989825
Mean,0.7269973031826497,0.5185000000000001,0.5182998923582097,-0.05273296292420585,0.07842900322131513,-0.593319030771511
