,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.706052719525015,0.524,0.5436799999999999,-0.03752897888529927,0.08179867644372944,-0.4304897252828936
Period 2,0.7096815932344918,0.496,0.5049650842462682,0.04110012268735441,0.07779322767514826,0.5606638212698992
Period 3,0.6986324533427215,0.54,0.5569994853319609,-0.06014601954219956,0.06407659538986718,-0.9436884731352131
Period 4,0.7070935753730697,0.54,0.5351181304571136,-0.10666862673792943,0.05565624194256001,-2.014588945028397
Period 5,0.7299987116787283,0.496,0.4872566598360656,-0.05817107702727731,0.06747524272752643,-0.8614825582416534
Period 6,0.7661786511547571,0.476,0.48495133196721313,0.021341087401181236,0.06259536361877614,0.3713588977928025
Mean,0.7196062840514639,0.512,0.5188284486397702,-0.03334558201736165,0.06823255796626791,-0.5530378304375759
