,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.7441830301347193,0.52,0.5606884057971013,-0.2813129517736144,0.13765337802883254,-2.3465061930680426
Period 2,0.7607773378285181,0.576,0.5642310905468799,-0.0684879135807821,0.08692620848801744,-0.7790725927037687
Period 3,0.6906034094416205,0.556,0.5437951496388029,0.050733549606980066,0.08078131101393653,0.6579905103011419
Period 4,0.7118914544818916,0.476,0.5064004096262161,0.16696088026001288,0.08034583043735845,1.9778630679997007
Period 5,0.7537736194411513,0.516,0.5330128205128205,-0.18542440410446193,0.10933415668587286,-1.8347848002000784
Period 6,0.7197774082297558,0.54,0.5390000660458357,-0.020315608236198046,0.0739158793999477,-0.24293073829271908
Mean,0.7301677099262761,0.5306666666666667,0.5411879903612761,-0.05630774130467725,0.09482612734232758,-0.42790679099396106
