,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,0.7304652260171508,0.5013333333333333,0.4961960886443273,-0.040369492508700124,0.07070466729542624,-0.6654661431257552
GBPUSD,0.7414032470112805,0.5266666666666667,0.5334682412075302,-0.07875646796085763,0.0949459121153548,-1.0590914950506733
USDJPY,0.7327214030916092,0.5013333333333333,0.5040834486092635,-0.0668042270546945,0.07977533420727981,-0.6444882762955406
USDCHF,0.7196062840514639,0.512,0.5188284486397702,-0.03334558201736165,0.06823255796626791,-0.5530378304375759
Mean,0.7310490400428761,0.5103333333333333,0.5131440567752228,-0.05481894238540348,0.07841461789608219,-0.7305209362273862
