,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.7110126167946581,0.52,0.5273029895653287,-0.041829887787997566,0.08179047634986006,-0.4856858931408771
Period 2,0.7016519725680465,0.532,0.5240015360983103,0.04087930833165099,0.07779368905767446,0.5579883990148411
Period 3,0.6809070928565067,0.556,0.5938892836380079,-0.04770227234295776,0.06412078750818155,-0.7362629700824449
Period 4,0.7125976692106911,0.548,0.5389839195336025,0.03890428401722046,0.05604589278226826,0.7145110682520625
Period 5,0.723743061888204,0.548,0.5254020116599397,-0.08995600089259159,0.06732155408820635,-1.3774764966420987
Period 6,0.7496214442122328,0.46,0.4886137661171339,-0.1157103661024047,0.062139093838253,-1.9632259593953783
Mean,0.7132556429217232,0.5273333333333333,0.5330322511020539,-0.03590248912951336,0.06820191560407395,-0.5483586419989825
