Date,Open,High,Low,Close
2013-01-01,0.75698,0.7632,0.75513,0.76122
2013-01-02,0.76123,0.7664,0.75924,0.76578
2013-01-03,0.76571,0.77041,0.7631,0.76418
2013-01-04,0.76419,0.76949,0.76293,0.7684
2013-01-07,0.76842,0.77522,0.76769,0.76951
2013-01-08,0.76949,0.7757,0.76885,0.77491
2013-01-09,0.77492,0.7789,0.77328,0.778
2013-01-10,0.77801,0.77988,0.77006,0.77123
2013-01-11,0.7712,0.77195,0.76282,0.7667
2013-01-14,0.76671,0.7792,0.76582,0.77639
2013-01-15,0.7764,0.7846,0.77472,0.78271
2013-01-16,0.78268,0.78389,0.77763,0.7817
2013-01-17,0.78169,0.7866,0.77678,0.7825
2013-01-18,0.78251,0.78362,0.77603,0.78092
2013-01-21,0.78091,0.7846,0.77781,0.7821
2013-01-22,0.78212,0.78428,0.77879,0.78057
2013-01-23,0.7806,0.78533,0.78021,0.78373
2013-01-24,0.78376,0.78552,0.77679,0.7773
2013-01-25,0.77728,0.77873,0.77265,0.77506
2013-01-28,0.77505,0.7761,0.76688,0.77458
2013-01-29,0.77454,0.7752,0.76886,0.7718
2013-01-30,0.77182,0.7719,0.75582,0.75891
2013-01-31,0.7589,0.76716,0.7589,0.76543
2013-02-01,0.76542,0.77019,0.75903,0.76859
2013-02-04,0.7686,0.77171,0.76465,0.76586
2013-02-05,0.76587,0.7685,0.76402,0.76682
2013-02-06,0.76689,0.7704,0.7601,0.76083
2013-02-07,0.76084,0.76682,0.75728,0.766
2013-02-08,0.76592,0.76942,0.76451,0.7653
2013-02-11,0.76537,0.77033,0.76151,0.76872
2013-02-12,0.7687,0.7734,0.76339,0.77279
2013-02-13,0.7728,0.77879,0.769,0.7768
2013-02-14,0.77678,0.78635,0.7765,0.78418
2013-02-15,0.78419,0.7859,0.77742,0.77962
2013-02-18,0.77964,0.78138,0.77574,0.7791
2013-02-19,0.77911,0.7832,0.77262,0.77495
2013-02-20,0.77501,0.77586,0.76975,0.77489
2013-02-21,0.7749,0.77964,0.77362,0.77819
2013-02-22,0.7782,0.78202,0.77599,0.77919
2013-02-25,0.77921,0.78106,0.774,0.77545
2013-02-26,0.77544,0.7756,0.7664,0.76882
2013-02-27,0.76882,0.77318,0.76482,0.7726
2013-02-28,0.77262,0.77509,0.7708,0.77367
2013-03-01,0.77369,0.77968,0.77228,0.77342
2013-03-04,0.77344,0.7807,0.77232,0.7797
2013-03-05,0.77968,0.784,0.77718,0.7833
2013-03-06,0.78332,0.78828,0.78267,0.78432
2013-03-07,0.78435,0.78637,0.77861,0.77971
2013-03-08,0.77976,0.78676,0.77917,0.78117
2013-03-11,0.78109,0.7849,0.7788,0.78229
2013-03-12,0.78228,0.78312,0.77871,0.78051
2013-03-13,0.78049,0.78758,0.77746,0.77859
2013-03-14,0.77857,0.78261,0.7756,0.77676
2013-03-15,0.77669,0.77915,0.77281,0.77593
2013-03-18,0.77595,0.7826,0.7758,0.78126
2013-03-19,0.7813,0.78178,0.77639,0.7794
2013-03-20,0.77939,0.7819,0.77445,0.78141
2013-03-21,0.78137,0.7901,0.77973,0.7873
2013-03-22,0.78738,0.78865,0.78157,0.7841
2013-03-25,0.78408,0.79315,0.78314,0.7913
2013-03-26,0.79131,0.79621,0.79091,0.795
2013-03-27,0.79493,0.79931,0.79403,0.79705
2013-03-28,0.79707,0.7996,0.79254,0.79336
2013-03-29,0.79337,0.79608,0.79295,0.7948
2013-04-01,0.79479,0.79567,0.79126,0.79411
2013-04-02,0.79403,0.80019,0.79361,0.7982
2013-04-03,0.79821,0.802,0.79412,0.79425
2013-04-04,0.79414,0.7988,0.78849,0.78949
2013-04-05,0.78944,0.793,0.78253,0.7857
2013-04-08,0.78571,0.79208,0.78561,0.79191
2013-04-09,0.79198,0.7957,0.7917,0.7946
2013-04-10,0.79466,0.8022,0.79409,0.80072
2013-04-11,0.8007,0.80788,0.80002,0.8022
2013-04-12,0.80225,0.8026,0.78751,0.78917
2013-04-15,0.78912,0.79201,0.78044,0.78751
2013-04-16,0.78757,0.7888,0.78051,0.78159
2013-04-17,0.78158,0.78822,0.7795,0.787
2013-04-18,0.7871,0.78849,0.78229,0.78522
2013-04-19,0.78521,0.79025,0.78228,0.78662
2013-04-22,0.78661,0.78956,0.783,0.78466
2013-04-23,0.7846,0.79898,0.7815,0.7976
2013-04-24,0.79769,0.80768,0.79662,0.80714
2013-04-25,0.80713,0.80807,0.8024,0.80351
2013-04-26,0.8035,0.8052,0.79746,0.80253
2013-04-29,0.80257,0.80347,0.7999,0.802
2013-04-30,0.80201,0.80353,0.79439,0.7972
2013-05-01,0.79723,0.79805,0.78552,0.78781
2013-05-02,0.7878,0.79699,0.78511,0.79658
2013-05-03,0.79659,0.8006,0.79141,0.79941
2013-05-06,0.7994,0.80046,0.79552,0.79903
2013-05-07,0.79902,0.79919,0.78614,0.78844
2013-05-08,0.78845,0.79254,0.78289,0.79
2013-05-09,0.78999,0.79808,0.78813,0.79432
2013-05-10,0.79431,0.79839,0.79074,0.79372
2013-05-13,0.79373,0.79641,0.7879,0.7894
2013-05-14,0.78934,0.79381,0.78647,0.7935
2013-05-15,0.79348,0.79938,0.79173,0.7959
2013-05-16,0.79583,0.79651,0.7816,0.7822
2013-05-17,0.78235,0.78803,0.78053,0.78671
2013-05-20,0.78663,0.79153,0.7859,0.7911
2013-05-21,0.79118,0.7942,0.7873,0.79033
2013-05-22,0.79031,0.79595,0.7844,0.78482
2013-05-23,0.78487,0.78989,0.775,0.7824
2013-05-24,0.78243,0.78472,0.77512,0.77794
2013-05-27,0.778,0.7819,0.77581,0.78138
2013-05-28,0.7814,0.79063,0.78064,0.787
2013-05-29,0.78692,0.7889,0.7775,0.77779
2013-05-30,0.77773,0.77911,0.76743,0.77105
2013-05-31,0.77107,0.77232,0.7581,0.76219
2013-06-03,0.76222,0.76952,0.76024,0.76321
2013-06-04,0.76322,0.76512,0.75547,0.7622
2013-06-05,0.76217,0.7626,0.7446,0.74634
2013-06-06,0.74637,0.74998,0.73645,0.73751
2013-06-07,0.73754,0.74246,0.73256,0.73389
2013-06-10,0.73388,0.74217,0.7337,0.7353
2013-06-11,0.73531,0.7357,0.7192,0.72949
2013-06-12,0.7295,0.74448,0.7242,0.72621
2013-06-13,0.72631,0.74761,0.72473,0.74374
2013-06-14,0.74372,0.75059,0.74016,0.74649
2013-06-17,0.74647,0.74809,0.73549,0.73672
2013-06-18,0.73673,0.73858,0.73074,0.73374
2013-06-19,0.73372,0.7403,0.72783,0.72962
2013-06-20,0.7296,0.73065,0.71573,0.71972
2013-06-21,0.71974,0.72752,0.71899,0.72562
2013-06-24,0.7256,0.72671,0.71853,0.71972
2013-06-25,0.7197,0.72717,0.71912,0.72478
2013-06-26,0.7248,0.73859,0.72386,0.73583
2013-06-27,0.7358,0.74198,0.73319,0.73655
2013-06-28,0.73654,0.73958,0.72801,0.73375
2013-07-01,0.73376,0.7405,0.73137,0.73788
2013-07-02,0.73786,0.73959,0.73418,0.73482
2013-07-03,0.73485,0.73939,0.73254,0.73754
2013-07-04,0.73756,0.7516,0.73691,0.74712
2013-07-05,0.74711,0.75249,0.73922,0.74618
2013-07-08,0.74619,0.75341,0.74497,0.75258
2013-07-09,0.75257,0.76633,0.75189,0.76307
2013-07-10,0.76308,0.76544,0.74783,0.74862
2013-07-11,0.7487,0.75348,0.73698,0.74451
2013-07-12,0.74448,0.74673,0.73482,0.73836
2013-07-15,0.73838,0.74266,0.73647,0.74121
2013-07-16,0.7412,0.74556,0.73983,0.74171
2013-07-17,0.7417,0.7457,0.7364,0.74133
2013-07-18,0.74131,0.74695,0.74072,0.74434
2013-07-19,0.74435,0.75237,0.74274,0.74493
2013-07-22,0.74491,0.74902,0.74142,0.74783
2013-07-23,0.74785,0.74959,0.7439,0.74557
2013-07-24,0.74556,0.74799,0.74101,0.74744
2013-07-25,0.74742,0.75374,0.74686,0.75112
2013-07-26,0.75114,0.75193,0.74816,0.74996
2013-07-29,0.74995,0.75181,0.74378,0.74409
2013-07-30,0.74405,0.74472,0.73891,0.74088
2013-07-31,0.74089,0.74244,0.73402,0.73833
2013-08-01,0.73834,0.74178,0.73301,0.73958
2013-08-02,0.73956,0.73996,0.71905,0.72108
2013-08-05,0.72106,0.72879,0.72106,0.72608
2013-08-06,0.72607,0.73266,0.72586,0.73064
2013-08-07,0.73061,0.73727,0.72946,0.73324
2013-08-08,0.73326,0.73911,0.7319,0.73446
2013-08-09,0.73443,0.74411,0.73415,0.74241
2013-08-12,0.74242,0.74595,0.73815,0.7401
2013-08-13,0.74011,0.74504,0.73964,0.74424
2013-08-14,0.74425,0.75391,0.74388,0.75114
2013-08-15,0.75113,0.75662,0.74597,0.74834
2013-08-16,0.74831,0.75324,0.74611,0.75238
2013-08-19,0.75239,0.75633,0.73654,0.73744
2013-08-20,0.73743,0.73787,0.72469,0.72703
2013-08-21,0.72707,0.73014,0.72123,0.72404
2013-08-22,0.72405,0.72589,0.72185,0.72376
