,Silhouette,Calinski Harabasz,Davies Bouldin
Period 1,0.6312969326972961,358.08127182559775,0.3802465367470641
Period 2,0.5917936563491821,103.88241806425215,0.46593541934391064
Period 3,0.704378604888916,544.6870258200194,0.34158806095329136
Period 4,0.7234790921211243,245.30203081511843,0.3546091944149734
Period 5,0.6052361726760864,171.61381192411906,0.4021941984479621
Period 6,0.5164027810096741,94.03774727600677,0.5695404302663272
Mean,0.6287645697593689,252.93405095418555,0.41901897336225485
