,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.7001264101180251,0.552,0.545790394711258,0.02443016269403797,0.13913232627420394,0.24640038197908098
Period 2,0.6794182191166903,0.58,0.6070215901082708,0.21765466684654466,0.08609288375803326,2.3496323928799345
Period 3,0.710216579315618,0.516,0.5405993852459017,0.15349710388857218,0.08031715570785164,1.8327622872568043
Period 4,0.733323937300375,0.46,0.4754787784679089,-0.020751980984218044,0.0809592386387513,-0.220612898539031
Period 5,0.697012949316569,0.516,0.5459341224909933,0.11600705107698528,0.10981649303973384,1.0621295096949455
Period 6,0.7268948270306771,0.544,0.5299890948745911,0.07523024906647713,0.07376996714314477,1.028160756832443
Mean,0.7078321536996591,0.528,0.5408022276498207,0.09434454209806653,0.09501467742695313,1.0497454050173627
