,Accuracy,AUC,Returns,SD,SR
EURUSD,0.49309815950920244,0.4930790800963565,-0.1296704363801301,0.0556799204662182,-0.21311677011109853
GBPUSD,0.5099693251533742,0.5098422035618171,0.09811336560020223,0.06710890926745446,0.16866293776150176
USDJPY,0.49233128834355827,0.4907788432497735,0.23684138123374776,0.06332707166198363,0.35603081942709863
USDCHF,0.5015337423312883,0.501269773276627,-0.02802952463932995,0.06930677965820553,-0.0033566638157055393
Mean,0.4992331288343558,0.49874247504614355,0.044313696453622486,0.06385567026346545,0.07705508081544908
