,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6931921258992805,0.512,0.5179063360881543,-0.006165207407741735,0.0818285477766004,-0.03515119924560538
Period 2,0.692679082731818,0.508,0.4777792008196721,0.0022972124460041154,0.0778410064843677,0.06854119240852133
Period 3,0.6930289436315125,0.512,0.5361808401639343,0.005972041845203835,0.06418770745724209,0.1255940440767562
Period 4,0.6911984008649936,0.54,0.5222544283413849,0.017348347501750405,0.056089986457484725,0.33715431175022936
Period 5,0.6951253516083205,0.456,0.4255539047865125,-0.09143495338347474,0.06731251418478465,-1.4020134340496413
Period 6,0.6928232606382771,0.548,0.5341781874039939,0.0637908037715853,0.06248135606061061,1.0290196535358094
Mean,0.6930078608957003,0.5126666666666667,0.5023088162672754,-0.0013652925377788023,0.06829018640351504,0.020524094746011596
