,Log Loss,Accuracy,AUC,Returns,SD,SR
EURUSD,0.6910809458784796,0.5086666666666667,0.5424357297164009,-0.014292317853114614,0.0709384986441195,-0.04651075946391312
GBPUSD,0.693118657180306,0.48133333333333334,0.5128767345551116,0.008869853847579342,0.09524220668719867,0.05848013623620447
USDJPY,0.6920545511892952,0.5153333333333333,0.5223709128581875,-0.021729266126640407,0.08001456161652452,-0.1027396456060093
USDCHF,0.6930078608957003,0.5126666666666667,0.5023088162672754,-0.0013652925377788023,0.06829018640351504,0.020524094746011596
Mean,0.6923155037859452,0.5045,0.5199980483492439,-0.00712925566748862,0.07862136333783944,-0.01756154352192659
