,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6918121700513875,0.504,0.5245317259705748,0.14002664727812641,0.13886313045211857,1.019281511778801
Period 2,0.6933779945066731,0.484,0.5003523608174771,-0.05501029137118996,0.08696617637651284,-0.6122265975175857
Period 3,0.6931500924005054,0.464,0.5197553790983607,0.0025295792180577426,0.08084984620288725,0.07187301309450918
Period 4,0.6933191002407696,0.468,0.4888069358178054,-0.04920695609449821,0.08091155943938287,-0.5880559362968942
Period 5,0.6948198174908393,0.472,0.48925630468347914,-0.04361751649513168,0.11003479543586676,-0.3531764090887728
Period 6,0.6922327683916608,0.496,0.5545577009429726,0.05849766055011174,0.07382773221642368,0.8131852354471694
Mean,0.693118657180306,0.48133333333333334,0.5128767345551116,0.008869853847579342,0.09524220668719867,0.05848013623620447
