Date,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURCZK,EURDKK,EURGBP,EURHUF,EURJPY,EURNOK,EURNZD,EURPLN,EURSEK,EURTRY,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,SGDJPY,USDCAD,USDCHF,USDCZK,USDDKK,USDHKD,USDHUF,USDJPY,USDMXN,USDNOK,USDPLN,USDSEK,USDSGD,USDTRY,USDZAR,ZARJPY
2016-11-02,0.0029454072196726244,0.001158327160078132,-0.006959794869203839,-0.007740860957860418,0.004364980534546259,-0.001803190683973499,-0.009964890541098614,-0.00833591193376293,8.962056033534616e-05,0.0030017268361124394,0.0013091435786971584,-0.00013321639893881798,0.00013306630465459435,-0.0031852064854343,9.733623179020157e-05,-0.007042927907928265,0.000585612857064266,-0.007671783363450757,0.005195197638335092,-0.0009081460702500266,0.004315416673912331,0.0044365732667093205,0.003360118695101999,0.0062950243688202345,0.004525456743686096,-0.0037630683965234057,-0.004430417084537841,0.007721597594456675,0.01080661840744579,0.009109671909472539,0.0008143213766034219,0.012176539036959255,-0.006777027750991094,-0.0014407715966436863,-0.003185367858610788,-0.004382282472917831,-0.004302066985503505,1.1605745101839204e-05,-0.004389257454015083,-0.011350715923763244,0.009110291187779174,-0.003806723221377095,0.00058653440487344,-0.00530888462053869,-0.004597419976832939,-0.0004651685032802666,-0.011705611937667948,0.0009197214557876698
2016-11-03,0.003941694147950203,0.007332068719645868,0.00672873896563142,0.0011253635973487164,0.0023100415024404075,0.0033646818720869387,0.002790091264667449,-0.0005956996161047279,-0.004246255230269669,-0.0002959117107059761,0.0030135843108165528,-0.00022205691318688547,-8.063551537507152e-05,-0.013025629646066794,-0.0047041266545548854,0.0024636588402391357,-0.00011221344317036142,-0.003089808234667757,-0.0021737119600405697,0.0055952248694615125,-0.000181801916711688,-0.0019341141757076574,0.008878533706119907,0.012874990149783772,0.0162817716038548,0.015646484282395345,0.01004390876931005,0.01123012430166459,0.0027213668218322162,0.005994781014175832,0.005655595571562033,0.001245432274487701,0.003532997114269465,0.0016147963188624104,0.004989176373569881,0.0017277196157881036,0.0018660089072417563,0.00010702951822527673,-0.002759889604415755,0.004395540134887632,-0.017520198355414185,0.001710706036138765,-6.170427199247985e-05,0.007582578705460419,0.0007950734358737055,0.0019642455948905013,-0.0015648684797147094,0.005250721974271455
2016-11-04,-0.0018853622033470074,0.0002671082856990914,0.012445196912074907,0.0004953654749315639,-0.000885428195679494,0.0021577196888484806,0.014340692201679772,0.012186006906665492,-0.0010591680338933873,-0.002946538489999928,-0.0007395765924009812,-1.4807082227341617e-05,2.553663902893355e-05,-0.000607041683528875,-0.003709377750252707,0.011369698877898182,-0.004034636035560313,-0.0005473381560638924,0.0016454229432212308,-0.001322727409683755,0.009137929043952164,-0.001946875535165371,-0.0004865161135368945,-0.0023280169963194597,-0.00023028020165971608,0.011997572475608065,4.693348352047266e-05,-0.0013871738537774014,-0.002356878309577537,-0.00021031968592255534,0.01187097116481417,-0.0014625878236146361,0.010467616232195498,-0.0009852290284297904,0.0011795597677806136,0.0019423854793338968,0.001978848539797795,4.899622213327959e-05,-0.0016568989219304386,0.013371500654990154,-0.025988193353411293,-0.0020288333597822117,0.0035816397893697616,0.0006406828007308185,0.002917768051884373,0.011384384749921539,0.010051395630255033,0.0037868895272916703
2016-11-07,0.0032325907462220638,0.002082888271736749,0.0033819198322766475,0.00040942632706508775,0.003401493529342714,-0.001124535443437269,0.00019226578822562068,0.0012525354495573904,-0.006216216216216264,-0.0029957290619454513,-0.004218706633360991,0.00012216023721300928,0.000102143947702249,0.002553373377426782,-0.0007590331488096513,-0.002827765719177755,0.004653048509025037,-0.005898653998416381,0.0009717498438259753,0.0013647064975919054,0.002036415222775867,-0.002826670038200807,-0.0087861983980283,-0.0055786834307104405,-0.006687890229757354,-0.005412553433588596,-0.008441764146848052,-0.005403842911169687,0.002914706483943652,0.0017530327466517281,0.003027959469910302,0.0030115946393614035,-0.0011303341799757671,-0.0001643667769917201,-0.0012908645719145184,0.002909979179303912,0.0029214830954324977,-3.99686439541691e-05,0.0020111464621941355,-3.8302069269358086e-05,-0.005010503301037361,0.007512892524782044,0.0037635689599073707,0.004162328587892894,0.0010945803868476212,0.004776142093394498,-0.010477453580901797,0.010277091192923082
2016-11-08,-0.003717147404790566,-0.032897191280712,-0.0433068417845105,-0.00966041040088339,-0.01359881546134678,-0.029229649765915577,-0.03979136764404334,-0.010931971582475275,0.03504808128142378,0.03124513592344713,0.0012542505156363237,0.0004071510530405664,0.00010213351538190807,0.008740140694947662,0.005762556479601777,-0.009721451366726752,0.014662011710696143,0.02527444811702706,0.005293206666204364,0.011592732823814123,0.04032014066094658,0.02107446249705669,0.025933339134975197,0.022162436058295487,-0.007619047619047747,-0.018297207878544275,0.01622264425551556,0.012093518907223766,0.005628919594146797,-0.023659526809463816,-0.0342524830109775,-0.00418992507267546,-0.029967782304230917,0.009960769661871982,-0.019521352440938444,-0.02044561050764615,-0.020614885098578006,-0.00015730224078336352,-0.015521649663492565,-0.030164034894521685,0.11681504580633684,-0.006216081683198538,-0.01578141351234086,-0.009435646539726839,-0.0002733458976535985,0.018213110413435762,0.0252885374316818,-0.05408189544166875
2016-11-09,0.0016560646060028716,0.03832853422977833,0.051156381222292824,0.015790030080824247,0.008598327737178169,0.03650223454206025,0.049408090541460226,0.012534687482302243,-0.03910287073280838,-0.03752362452750946,-0.002496079577615107,-0.0005623797543288234,8.465466272511435e-05,-0.021088223517373272,-0.004616185949606111,0.009957001865295911,-0.014721070181921814,-0.024152931884977358,-0.0030488365676445417,-0.016469546380105227,-0.03591222370991465,-0.030963679098851338,-0.018243398810028788,-0.01668338742992026,0.019152132187265414,0.03172515886202043,-0.002934241550956229,-0.00991496897085331,-0.013648762383767554,0.022340120447375877,0.03511549547355175,-0.006866399868428186,0.03564223268325484,-0.006769854540611742,0.029409918392969248,0.031636037464277456,0.03213078986045237,7.60843633738073e-05,0.027907062172834785,0.0422496272672519,-0.046591860433714105,0.016700262659581133,0.029426333028186757,0.015080310405201525,0.0064181896675781225,-0.004365027769006491,-0.023125157050914225,0.06629458208548877
2016-11-10,-0.0028106552036023524,-0.003277383400782985,0.0028569308400119287,-0.0013718589161367811,-0.005626778767069629,-0.0004502722100179213,0.005684925409199959,0.006152469377481928,0.0038071866783524477,0.0009545497934080327,0.00048372093023263396,0.000673754664455295,-7.658583054659385e-05,-0.013702676907694333,0.007548354602599394,0.006702622086570464,0.003695658151620984,0.0025274805463602057,0.007912932374525505,-0.004547455040255777,0.009049954038755414,-0.0018305965914291455,0.01776776622334686,0.014901904298926238,0.014436028659160716,0.020660021675087403,0.016466095608457243,0.012060617290913012,-0.0014598390064870514,-0.0019355381637632396,0.004157188799121414,-0.004305645639843814,0.0017890272992313605,0.0028008909216867828,0.002357939242410456,0.0022201732463058566,0.001716099331176224,0.00023081465969654325,0.009302342203257874,0.008526118342522482,0.040009913960981525,0.0054805219773617075,0.009666107407911184,-0.0027295134848995817,0.006663234957675623,0.010854694476574167,0.04302208014274034,-0.03242691178348023
2016-11-11,-0.002282169816841262,-0.004206714768763775,-4.9329732262903825e-05,0.007437163077564479,-0.00924284795252528,-0.0019247570164901973,0.002263645100915701,0.004224804046917496,-0.000663556101922258,-0.002935847308693007,-0.004806977090151876,-0.000369945617994083,-9.405997801636978e-06,-0.010079948390664284,0.002629272567922891,-0.0007407343605998484,-0.0019407474781788503,0.006709721817844905,0.0096104341856873,-0.0007432878470915449,-0.007868841362466017,-0.00989418086452587,0.009526177280279269,0.007232150248956293,0.0053112488699471605,0.009481578967046378,0.016980600984599192,0.00018309186435283564,-0.009564599656127437,-0.011453063518830797,-0.007368640316617214,-0.01647932807584085,0.004510880349229529,0.007019811467920523,0.005090090546829851,0.009676104702070587,0.010021029800766579,0.00018692962293065385,0.012622820217756958,0.0092524751545211,0.006667931190451837,0.008020019575014192,0.019683575728995928,0.009253770955898633,0.0048009999715918905,0.0021623916112738506,0.020713928818099303,-0.012006861063464713
2016-11-14,0.00030303030303024947,0.007526536723617028,0.007757483072900584,2.8212458621723613e-05,0.0014179134145211325,0.007221500376119794,0.007419090278216078,0.00017529292370155325,-0.005934033675117023,-0.005663535439795142,0.0015135236137713282,0.00019244291476994135,0.0001840905456740316,0.0017921355506160808,0.006054131054131107,0.0017583933112097494,-0.0005994966862984397,-0.005849952017247473,0.00171114510737147,-0.001842857809718823,0.00289391169873765,-0.00452882611715677,-0.007742439258792033,-0.007444416394154829,-0.00029707899089492784,-2.9629410152498536e-05,-0.007642470218090058,-0.006295615354615758,0.0001975051975051656,0.0073779230933257445,0.007659418198987522,0.0013246526309855788,0.007400969237252308,-0.001135994806880758,0.006083228247162786,0.005075432111099953,0.004783786489611863,-0.00023587398400182202,0.010423441379069143,0.0063475517251008196,-0.000835821472398468,0.003947873838756166,0.006041401585592521,0.0026757304020825767,-0.001039016115352065,0.007547436204367042,-0.0001291872376975034,0.007745726495726579
2016-11-15,-0.008873166489138162,0.002056657599681433,0.0079302917564128,0.0008557537686078032,-0.0009527590313617162,0.011066903846937315,0.01699585436418971,0.005903568891881594,0.0002601529980874595,-0.008608962115070118,0.002322826198494221,0.0006216190215420081,-0.00011688269813636687,0.0012197246907126313,-0.0030893000804504966,0.008191431693613138,-0.005909573311009164,0.0010777002009945136,-0.004411964342278085,0.00130132877868272,0.0012018447182611247,-0.0007070688275681025,-0.0009443327925615641,-0.009830771141777106,0.0010842589692310334,0.006948302554871555,-0.0001366089114546165,-0.0019463044244386607,-0.009758987310198641,0.0011994806954165327,0.007067551737602651,-0.0018154694888539158,0.00796099244424675,-0.007931467395317915,0.00299815498154965,0.0008747688820851529,0.0005487364620939683,7.219704636729496e-05,-0.002218215668700396,0.008897109826589533,-0.018662147198622914,-0.005181726502145656,-0.003531566415095333,0.0019528133844759488,0.0008702850714270571,0.0016267344980427367,-0.01116391788217308,0.021070765968725036
