,Log Loss,Accuracy,AUC,Returns,SD,SR
Period 1,0.6924513873358035,0.524,0.6125793828981975,-0.1549005259046463,0.08699382235272485,-1.9056410693695085
Period 2,0.6941169220183322,0.46,0.4677077308656256,-0.2529943772972302,0.08578972701737544,-3.382161286153882
Period 3,0.6739042090325316,0.572,0.605038236617184,-0.20380169590794806,0.07105765862739415,-3.195929893501151
Period 4,0.6732973397777523,0.612,0.6533974358974358,-0.09046439064486167,0.05402540081258649,-1.7418149980221647
Period 5,0.6928714309527623,0.488,0.5446027718133906,-0.21953095056027683,0.06426328356446065,-3.8536839223261743
Period 6,0.6924124790554456,0.54,0.5210933999103771,-0.12328843684697499,0.0574243939724544,-2.280291031770467
Mean,0.6865089613621045,0.5326666666666667,0.5674031596670351,-0.1741633961936563,0.069925714391166,-2.7265870335238915
